date,actual,predicted
2025-01-06 10:00:00,20.16,13.0
2025-01-06 11:00:00,20.256,11.17
2025-01-06 12:00:00,20.928,7.855
2025-01-06 13:00:00,20.544,3.178
2025-01-06 14:00:00,20.352,-1.148
2025-01-06 15:00:00,20.64,-4.92
2025-01-06 16:00:00,260.544,-5.79
2025-01-06 17:00:00,548.928,-1.544
2025-01-06 18:00:00,688.8,2.8
2025-01-06 19:00:00,293.952,4.316
2025-01-06 20:00:00,0.0,-1.411
2025-01-06 21:00:00,0.0,2.31
2025-01-06 22:00:00,0.0,43.22
2025-01-06 23:00:00,0.0,308.0
2025-01-07 00:00:00,0.0,-80.44
2025-01-07 01:00:00,0.0,62.03
2025-01-07 02:00:00,0.0,28.86
2025-01-07 03:00:00,0.0,54.75
2025-01-07 04:00:00,0.0,10.71
2025-01-07 05:00:00,0.0,17.88
2025-01-07 06:00:00,0.0,46.03
2025-01-07 07:00:00,0.0,47.94
2025-01-07 08:00:00,0.0,35.62
2025-01-07 09:00:00,17.472,23.72
2025-01-07 10:00:00,20.16,18.75
2025-01-07 11:00:00,19.872,14.484
2025-01-07 12:00:00,20.544,9.72
2025-01-07 13:00:00,103.488,5.19
2025-01-07 14:00:00,696.192,0.2058
2025-01-07 15:00:00,574.464,-1.753
2025-01-07 16:00:00,412.704,0.3784
2025-01-07 17:00:00,573.12,5.895
2025-01-07 18:00:00,688.608,13.586
2025-01-07 19:00:00,687.36,12.26
2025-01-07 20:00:00,330.624,6.06
2025-01-07 21:00:00,0.0,7.23
2025-01-07 22:00:00,0.0,53.75
2025-01-07 23:00:00,0.0,270.5
2025-01-08 00:00:00,0.0,-93.4
2025-01-08 01:00:00,0.0,74.9
2025-01-08 02:00:00,0.0,62.94
2025-01-08 03:00:00,0.0,67.5
2025-01-08 04:00:00,0.0,24.7
2025-01-08 05:00:00,0.0,31.02
2025-01-08 06:00:00,0.0,57.47
2025-01-08 07:00:00,0.0,56.7
2025-01-08 08:00:00,0.0,42.4
2025-01-08 09:00:00,17.76,29.75
2025-01-08 10:00:00,19.488,23.2
2025-01-08 11:00:00,19.68,18.08
2025-01-08 12:00:00,20.448,12.61
2025-01-08 13:00:00,21.792,7.305
2025-01-08 14:00:00,644.736,3.516
2025-01-08 15:00:00,540.192,1.782
2025-01-08 16:00:00,388.896,5.305
2025-01-08 17:00:00,530.496,12.945
2025-01-08 18:00:00,689.184,20.86
2025-01-08 19:00:00,687.072,20.08
2025-01-08 20:00:00,321.6,13.195
2025-01-08 21:00:00,0.0,9.19
2025-01-08 22:00:00,0.0,57.56
2025-01-08 23:00:00,0.0,247.1
2025-01-09 00:00:00,0.0,-194.8
2025-01-09 01:00:00,0.0,101.7
2025-01-09 02:00:00,0.0,64.2
2025-01-09 03:00:00,0.0,29.08
2025-01-09 04:00:00,0.0,7.656
2025-01-09 05:00:00,0.0,30.83
2025-01-09 06:00:00,0.0,59.44
2025-01-09 07:00:00,0.0,57.2
2025-01-09 08:00:00,0.0,44.1
2025-01-09 09:00:00,16.992,31.44
2025-01-09 10:00:00,19.2,22.06
2025-01-09 11:00:00,19.68,15.19
2025-01-09 12:00:00,24.0,9.94
2025-01-09 13:00:00,23.232,4.695
2025-01-09 14:00:00,526.656,2.842
2025-01-09 15:00:00,539.328,3.871
2025-01-09 16:00:00,439.872,8.11
2025-01-09 17:00:00,586.752,16.33
2025-01-09 18:00:00,690.24,23.97
2025-01-09 19:00:00,688.512,24.58
2025-01-09 20:00:00,380.448,14.96
2025-01-09 21:00:00,0.0,7.062
2025-01-09 22:00:00,0.0,34.22
2025-01-09 23:00:00,0.0,131.2
2025-01-10 00:00:00,0.0,31.62
2025-01-10 01:00:00,0.0,41.97
2025-01-10 02:00:00,0.0,140.0
2025-01-10 03:00:00,0.0,150.2
2025-01-10 04:00:00,0.0,88.1
2025-01-10 05:00:00,0.0,76.2
2025-01-10 06:00:00,0.0,96.56
2025-01-10 07:00:00,0.0,95.0
2025-01-10 08:00:00,0.0,73.0
2025-01-10 09:00:00,17.088,52.7
2025-01-10 10:00:00,18.816,41.47
2025-01-10 11:00:00,18.144,33.6
2025-01-10 12:00:00,19.392,27.75
2025-01-10 13:00:00,34.464,22.56
2025-01-10 14:00:00,664.608,21.2
2025-01-10 15:00:00,559.968,20.69
2025-01-10 16:00:00,419.232,24.62
2025-01-10 17:00:00,579.072,29.77
2025-01-10 18:00:00,689.76,31.2
2025-01-10 19:00:00,688.8,23.72
2025-01-10 20:00:00,375.264,9.52
2025-01-10 21:00:00,0.0,4.895
2025-01-10 22:00:00,0.0,49.6
2025-01-10 23:00:00,0.0,168.1
2025-01-11 00:00:00,0.0,-114.0
2025-01-11 01:00:00,0.0,-181.2
2025-01-11 02:00:00,0.0,-28.55
2025-01-11 03:00:00,0.0,-6.227
2025-01-11 04:00:00,0.0,-15.76
2025-01-11 05:00:00,0.0,-10.76
2025-01-11 06:00:00,0.0,-3.82
2025-01-11 07:00:00,0.0,6.67
2025-01-11 08:00:00,0.0,14.75
2025-01-11 09:00:00,13.824,21.53
2025-01-11 10:00:00,19.2,26.94
2025-01-11 11:00:00,17.76,31.1
2025-01-11 12:00:00,18.048,34.75
2025-01-11 13:00:00,22.368,38.44
2025-01-11 14:00:00,44.064,40.84
2025-01-11 15:00:00,504.384,45.72
2025-01-11 16:00:00,375.84,50.28
2025-01-11 17:00:00,564.096,54.88
2025-01-11 18:00:00,689.472,58.84
2025-01-11 19:00:00,688.224,62.3
2025-01-11 20:00:00,331.296,62.78
2025-01-11 21:00:00,0.0,60.6
2025-01-11 22:00:00,0.0,55.28
2025-01-11 23:00:00,0.0,48.0
2025-01-12 00:00:00,0.0,62.84
2025-01-12 01:00:00,0.0,55.12
2025-01-12 02:00:00,0.0,52.06
2025-01-12 03:00:00,0.0,78.06
2025-01-12 04:00:00,0.0,86.1
2025-01-12 05:00:00,0.0,76.06
2025-01-12 06:00:00,0.0,57.4
2025-01-12 07:00:00,0.0,42.3
