순번,발전사명,에너지원,사업명,용량(kw),착공년월,준공년월,위치,투자유형
81,한국동서발전,태양광,서오창2호태양광,1800,,2021-01,충북 청주시 청원구 오창읍,자체투자
82,한국동서발전,태양광,옥산1호태양광,1000,,2021-01,충북 청주시 흥덕구 옥산면,자체투자
83,한국동서발전,태양광,옥산3호태양광,1000,,2021-01,충북 청주시 흥덕구 옥산면,자체투자
84,한국동서발전,태양광,광양항 광양냉장태양광,700,,2021-04,전남 광양시,자체투자
85,한국동서발전,태양광,동해그린수소생산&D태양광,3200,,2022-07,강원도 동해시,자체투자
86,한국동서발전,태양광,성원사천공장지붕태양광,1000,,2022-12,경남 사천시 사남면,자체투자
87,한국동서발전,태양광,성원SSM공장지붕태양광,300,,2022-12,부산 강서구,자체투자
88,한국동서발전,태양광,울주햇빛상생태양광,500,,2023-06,울산 울주군 삼남읍,자체투자
89,한국동서발전,태양광,동해바이오연료저장고태양광,840,,2023-06,강원도 동해시,자체투자
90,한국동서발전,풍력,지산풍력,3000,,2012-12,전남 영광군 백수읍,자체투자
91,한국동서발전,연료전지,일산연료전지(Ⅳ),5300,,2018-03,경기도 고양시,자체투자
92,한국동서발전,연료전지,동해연료전지,15000,,2020-09,강원도 동해시,자체투자
93,한국동서발전,연료전지,울산연료전지(Ⅱ),4200,,2020-01,울산시 남구,자체투자
94,한국동서발전,연료전지,울산수소연료전지(R&D),1000,,2020-11,울산시 남구,자체투자
95,한국동서발전,연료전지,호남연료전지,15000,,2021-11,전남 여수시,자체투자
96,한국동서발전,연료전지,동해북평레포츠연료전지,4200,,2022-05,강원도 동해시,자체투자
97,한국동서발전,연료전지,울주햇빛상생연료전지,8100,,2023-03,울산 울주군 삼남읍,자체투자
98,한국동서발전,ESS,동해하수처리장 ESS,6200,,2017-12,강원도 동해시,자체투자
99,한국동서발전,ESS,동해 리파워링 ESS,6400,,2020-03,강원도 동해시,자체투자
100,한국동서발전,ESS,옥산오창 ESS,19600,,2021-01,"충북 청주시 흥덕구, 청원구",자체투자
101,한국동서발전,ESS,울산 4복합 ESS,1200,,2021-02,울산시 남구,자체투자
102,한국동서발전,태양광,부산신호태양광,20000,,2013-03,부산시 강서구,공동투자
103,한국동서발전,태양광,당진에코태양광,9800,,2019-12,충남 당진시 석문면,공동투자
104,한국동서발전,태양광,신안자라리태양광,24200,,2020-12,전남 신안군 안좌면,공동투자
105,한국동서발전,태양광,부산산단태양광,10800,,2020-12,부산 강서구,공동투자
106,한국동서발전,태양광,고흥해창만수상태양광,98000,,2023-03,전남 고흥군 포두면,공동투자
107,한국동서발전,풍력,경주풍력 1단계,16800,,2012-01,경북 경주시 양북면,공동투자
108,한국동서발전,풍력,경주풍력 2단계,20700,,2017-12,경북 경주시 양남면,공동투자
109,한국동서발전,풍력,호남풍력,20000,,2014-03,전남 영광군 백수읍,공동투자
110,한국동서발전,풍력,영광백수풍력,40000,,2015-05,전남 영광군 백수읍,공동투자
111,한국동서발전,풍력,영광풍력,79600,,2018-12,전남 영광군 염산면,공동투자
112,한국동서발전,풍력,태백가덕산풍력 1단계,43200,,2020-11,강원도 태백시,공동투자
113,한국동서발전,풍력,태백가덕산풍력 2단계,21000,,2022-12,강원도 태백시,공동투자
114,한국동서발전,연료전지,대산연료전지,50200,,2020-06,충남 서산시 대산읍,공동투자
115,한국동서발전,연료전지,파주연료전지,8100,,2020-12,경기도 파주시 월롱면,공동투자
116,한국동서발전,연료전지,청주연료전지,19800,,2021-12,충북 청주시 흥덕구,공동투자
117,한국동서발전,연료전지,대원연료전지,19800,,2021-12,울산광역시 북구,공동투자
118,한국동서발전,연료전지,석문바이오매스,38900,,2017-01,충남 당진시 석문면,공동투자
119,한국동서발전,ESS,경주풍력 ESS,9000,,2017-07,경북 경주시 양북면,공동투자
120,한국동서발전,ESS,호남풍력 ESS,9000,,2018-06,전남 영광군 백수읍,공동투자
121,한국동서발전,ESS,백수풍력 ESS,18000,,2018-06,전남 영광군 백수읍,공동투자
122,한국동서발전,ESS,당진에코 ESS,24500,,2019-12,충남 당진시 석문면,공동투자
123,한국동서발전,ESS,신안 자라리 ESS,74800,,2020-12,전남 신안군 안좌면,공동투자
