발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
영흥태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,25.958,109.056,326.976,279.475,190.157,336.922,327.667,187.661,104.678,12.48,0.0,0.0,0.0,0.0,0.0,0.0,1901.03,79,336.92,12.48,336.922,0,남동발전량_2025_01.csv
예천태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.54,65.34,241.56,414.36,566.64,720.18,834.12,741.6,313.74,236.52,22.68,0.0,0.0,0.0,0.0,0.0,0.0,4157.28,173,834.12,0.54,834.12,0,남동발전량_2025_01.csv
여수태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.31,712.31,30,712.31,712.31,712.31,0,남동발전량_2025_01.csv
영흥태양광,2, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,16.417,47.507,48.813,51.941,47.916,47.844,49.621,126.434,646.404,585.655,0.0,0.0,0.0,0.0,0.0,0.0,1668.552,70,646.4,16.41,646.404,0,남동발전량_2025_01.csv
탑선태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,339.0,14,339.0,339.0,339.0,0,남동발전량_2025_01.csv
탑선태양광,3, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,342.0,14,342.0,342.0,342.0,0,남동발전량_2025_01.csv
경상대태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,1.152,93.456,281.808,421.488,509.688,544.896,459.864,493.488,374.832,203.4,38.016,0.0,0.0,0.0,0.0,0.0,0.0,3422.088,143,544.89,1.152,544.896,0,남동발전량_2025_01.csv
고흥만 수상태양광,1, 2025-01-30 00:00:00,0,0,0,0,0,0.0,0.0,403.368,7970.508,24895.668,34071.912,41662.068,47072.76,45726.156,39917.556,30398.256,15555.12,2671.2,0.0,0.0,0.0,0.0,0.0,0.0,290344.572,12098,47072.76,403.368,47072.76,0,남동발전량_2025_01.csv
영동태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.48,18.24,19.008,18.624,21.12,137.664,805.824,700.512,532.128,613.152,690.048,687.744,503.424,0.0,0.0,0.0,4747.968,198,805.82,0.48,805.824,0,남동발전량_2025_01.csv
삼천포태양광#5,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,2.24,153.971,208.79,204.019,290.485,813.502,2904.014,2544.187,2012.471,2497.527,2496.379,2499.462,1275.158,0.0,0.0,0.0,0.0,17902.205,746,2904.01,2.24,2904.014,0,남동발전량_2025_01.csv
