년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2021-12-29,1,999.6,2147.78,89.491,648.673,0,648.673,5.785,0,0,0,0,0,0,0,0,0,20.972,128.722,169.219,391.952,648.673,439.68,253.105,89.672,5.785,0,0,0,0,0,0
2021-12-30,1,999.6,4246.385,176.933,781.011,0,781.011,1.446,0,0,0,0,0,0,0,1.446,81.717,289.986,438.234,718.096,781.011,739.791,623.362,419.432,145.355,7.955,0,0,0,0,0,0
2021-12-31,1,999.6,1489.705,62.071,323.975,0,323.975,4.339,0,0,0,0,0,0,0,0,28.203,60.022,175.727,323.975,183.682,217.671,292.879,128.722,74.485,4.339,0,0,0,0,0,0
2022-01-01,1,999.6,3705.462,154.394,714.48,0,714.48,1.446,0,0,0,0,0,0,0,1.446,117.152,396.291,603.837,714.48,689.169,472.222,410.754,190.914,104.858,4.339,0,0,0,0,0,0
2022-01-02,1,999.6,3939.04,164.127,671.091,0,671.091,1.446,0,0,0,0,0,0,0,1.446,111.366,389.059,545.984,671.091,485.962,598.775,573.464,399.906,148.247,13.74,0,0,0,0,0,0
2022-01-03,1,999.6,3483.452,145.144,685.554,0,685.554,2.169,0,0,0,0,0,0,0,2.169,127.999,355.794,553.216,685.554,443.296,459.205,462.821,271.907,113.536,7.955,0,0,0,0,0,0
2022-01-04,1,999.6,3160.197,131.675,630.594,0,630.594,2.169,0,0,0,0,0,0,0,2.169,98.349,368.087,203.207,304.449,614.684,630.594,491.747,306.619,134.507,5.785,0,0,0,0,0,0
2022-01-05,1,999.6,459.205,19.134,144.632,0,144.632,0.723,0,0,0,0,0,0,0,0,6.508,52.791,144.632,91.841,62.915,51.344,33.265,15.186,0.723,0,0,0,0,0,0,0
2022-01-06,1,999.6,4589.159,191.215,781.734,0,781.734,1.446,0,0,0,0,0,0,0,1.446,106.304,404.245,614.684,734.005,781.734,739.067,616.854,431.725,145.355,13.74,0,0,0,0,0,0
2022-01-07,1,999.6,3751.02,156.293,665.305,0,665.305,1.446,0,0,0,0,0,0,0,1.446,117.875,415.816,603.837,645.78,665.305,530.075,468.606,213.332,78.824,10.124,0,0,0,0,0,0
